num,lable,person,IDtype,perception,p  5,perception_2,p_2   7,emotion  8,body  9,right need  10,actual need  11
1,1,,,,0,,0,0 0 0 0 0 0 0 0.8,1 1 1 1 1 1 1 1,"Wander,Chat",
2,1,,,,0,,0,0 0 0 0 0 0 0 0.7,1 1 1 1 1 1 1 1,"Wander,Chat",
3,1,,,,0,,0,0 0 0 0 0 0 0 0.6,1 1 1 1 1 1 1 1,"Wander,Chat",
4,1,,,,0,,0,0 0 0 0 0 0 0 0.5,1 1 1 1 1 1 1 1,"Wander,Chat",
5,1,,,,0,,0,0 0 0 0 0 0 0 0.4,1 1 1 1 1 1 1 1,null,
6,1,,,,0,,0,0.6 0 0 0 0 0 0 0,0.2 1 1 1 1 1 1 1,Charge,
7,1,,,,0,,0,0.6 0 0 0 0 0 0 0,0.15 1 1 1 1 1 1 1,Charge,
8,1,,,,0,,0,0.6 0 0 0 0 0 0 0,0.1 1 1 1 1 1 1 1,Charge,
9,1,,,,0,,0,0.8 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,Sing,
10,1,,,,0,,0,0.9 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,Sing,
11,2,Teacher_Li,Teacher,EnterSchool,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture",
12,2,Ming,Student,EnterSchool,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture",
13,2,Dad_of_Hong,Parent,EnterSchool,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture,ParentIdentity",
14,2,Stranger,Stranger,EnterSchool,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,StopStranger,
15,2,Headmaster,Teacher,Query,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,Answer,
16,2,Stranger,Stranger,Query,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,Answer,
17,2,Ming,Student,Uncooperate,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
18,2,Dad_of_Gang,Parent,Uncooperate,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
19,2,Hong,Student,SendWord,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,Remind,
20,2,Dad_of_Gang,Parent,SendWord,1,,0,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,Remind,
21,3,Teacher_Li,Teacher,Query,0.9,EnterSchool,0.87,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture",
22,3,Headmaster,Teacher,EnterSchool,0.92,SendWord,0.88,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture",
23,3,Ming,Student,EnterSchool,0.9,Query,0.88,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture",
24,3,Hong,Student,SendWord,0.92,EnterSchool,0.88,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture",
25,3,Dad_of_Ming,Parent,EnterSchool,0.92,Query,0.87,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,"Greet,MeasureTempareture,ParentIdentity",
26,3,Teacher_Li,Teacher,Uncooperate,0.9,Query,0.88,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
27,3,Headmaster,Teacher,Uncooperate,0.91,SendWord,0.88,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
28,3,Hong,Student,Query,0.85,Uncooperate,0.82,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
29,3,Gang,Student,Uncooperate,0.9,SendWord,0.9,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
30,3,Dad_of_Gang,Parent,SendWord,0.89,Uncooperate,0.85,0.6 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1,KeepOrder,
